Gewässer	Stationsname	StationsNr.	Zeitpunkt	Wasserstand	AS	Tendenz	-2h	-4h	-6h	-12h	-24h	MG	AS1	AS2	AS3	AS4	Abfluss	MQ
Elbe	Mühlberg	501160	28.08.2023 17:00	160			159	158	157	155	154							
Elbe	Artlenburg	5930050	28.08.2023 17:00	412			413	412	412	412	413							
Elbe	Neuwerben EP	502470	28.08.2023 17:00	195			195	195	195	195	195							
Elbe	Hitzacker	5920010	28.08.2023 17:00	118			118	118	118	119	121							
Elbe	Bleckede	5930020	28.08.2023 17:00	537			537	537	538	539	540							
Elbe	Vockerode	501480	28.08.2023 17:00	81			81	81	82	82	83							
Elbe	Riesa	501110	28.08.2023 17:00	143			141	140	139	134	132							
Elbe	Aken	502010	28.08.2023 17:00	58			58	58	58	59	59		510	580	650	700		
Elbe	Geesthacht Wehr UP	5930062	28.08.2023 17:00	678			751	657	469	630	581							
Elbe	Zollenspieker	5930090	28.08.2023 17:00	671			751	662	512	619	562							
Elbe	Schnackenburg	5910010	28.08.2023 06:00	132			132	132	132	134	137							
Elbe-Havel-Kanal	Wusterwitz OP	587540	28.08.2023 17:00	306			306	307	308	303	298							
Flutkanal	Gehofen	573150	28.08.2023 16:30	63			63	64	63	61	61						0,518	
Freiberger Mulde	Leisnig	566085	28.08.2023 17:00	377			376	374	376	375	375						0	32,9
Fuhne (westlich)	Baalberge	578600	28.08.2023 16:45	54			54	54	54	56	63						0,208	1,12
Geisel	Frankleben	576210	28.08.2023 17:00	24			24	25	24	22	24						0,114	0,433
Gera	Erfurt-Möbisburg	574210	28.08.2023 16:45	54			55	55	55	54	55						2,24	5,75
Gnevsdorfer Vorfluter	Gnevsdorf OP	580840	28.08.2023 17:00	326			325	324	322	322	326							
Goldbach	Pfeifenkrug	579652	28.08.2023 17:00	7			7	7	7	7	7						0,027	0,143
Gonna	Sangerhausen	575850	28.08.2023 17:00	49			49	49	49	48	48						0,262	0,405
Große Röder	Großdittmannsdorf	554520	28.08.2023 16:45	69			69	70	72	76	60						0,805	2,3
Große Röder	Kleinraschütz	554550	28.08.2023 16:45	54			51	49	50	50	45						1,28	
Großer Graben	Oschersleben	579810	28.08.2023 16:45	38			38	37	37	37	36	150					0,229	2,09
Hassel	Hasselfelde	579504	28.08.2023 16:45	22			22	22	22	22	23						0,083	0,488
Havel	Garz UP	580760	28.08.2023 17:00	85			84	83	85	85	85							
Havel	Garz OP	580750	28.08.2023 17:00	201			198	197	198	198	201							
Havel	Havelberg UP	580800	28.08.2023 17:00	143			143	143	142	144	144							
Havel	Grütz UP	580710	28.08.2023 17:00	39			37	37	39	36	41							
Havel	Grütz OP	580700	28.08.2023 17:00	148			149	150	149	147	147							
Havel	Albertsheim	580520	28.08.2023 17:00	78			79	80	80	79	79							
Havel	Rathenow UP	580650	28.08.2023 17:00	81			83	84	84	82	82							89,4
Havel	Quitzöbel OP	580820	28.08.2023 17:00	341			340	340	339	341	342							
Havel	Havelberg Stadt	580790	28.08.2023 17:00	142			142	142	141	143	143		300	360	400	430		
Havel	Rathenow OP	580640	28.08.2023 17:00	247			247	248	249	249	247							
Helbe	Wasserthaleben	575110	28.08.2023 16:45	26			27	27	27	28	31						0,283	
Helme	Nikolausrieth	575560	28.08.2023 16:45	115			116	117	117	120	121						7,59	
Helme	Bennungen	575410	28.08.2023 17:00	55			56	56	56	57	58		125	150	175	200	5,68	
Helme	Sundhausen	575400	28.08.2023 16:45	36			36	36	36	36	36						0,515	1,49
Helme	Saukopf	575409	28.08.2023 16:00	127			127	127	127	128	127						5,07	
Helme	Görsbach	575401	28.08.2023 16:30	682			685	688	690	687	679						1,87	
Holtemme	Steinerne Renne	579705	28.08.2023 17:00	19			19	19	19	19	20		55	70	90	110	0,107	0,324
Holtemme	Mahndorf	579712	28.08.2023 16:45	20			20	20	20	20	21		90	120	150	170	0,622	1,28
Holtemme	Nienhagen	579745	28.08.2023 16:45	19			19	19	18	19	19						0,976	1,43
Ihle	Grabow	587600	28.08.2023 17:00	27			28	28	28	28	28						0,122	0,449
Ilm	Niedertrebra	572920	28.08.2023 16:45	57			57	58	58	59	63						4,54	5,89
Ilm	Gräfinau-Angstedt	572890	28.08.2023 16:45	41			42	42	42	43	42						2,15	2,45
Ilm	Mellingen	572910	28.08.2023 16:15	59			59	59	59	57	59						3,34	4,24
Ilse	Ilsenburg	444205	28.08.2023 16:45	119			119	119	120	119	120		150	190	220	250	0,242	0,504
Ilse	Hoppenstedt	444210	28.08.2023 17:00	38			38	39	39	39	39		100	150	200	230	0,635	1,17
Jeetze	Sienau OP	597007	28.08.2023 17:00	125			125	125	125	125	125		180	215	230	250		
Kalte Bode	Königshütte-KB	579330	28.08.2023 16:30	28			28	28	28	28	28						1,71	0,998
Kalte Bode	Elend	579305	28.08.2023 16:45	33			33	33	33	33	33	80					0,438	0,702
